id;adresse;nom;prenom;age
1;where vainly;baggy behind gosh;atrophy enthusiastically putrid;11503
2;college;dreamer;but;28567
3;wide-eyed save externalize;honest copying intentional;quantify;14060
4;ugh;combat but;meatball wide hence;11766
5;babyish;a whereas;considering adored;32448
6;however for discourse;lumbering spectacles;though unless;31385
7;boohoo rival and;stomach diligent;because latency;12253
8;waterfront monthly esteemed;titillate;young in;28227
9;whether enthusiastically preside;daintily encounter however;dry boohoo;24883
10;phosphate;likewise several;rearm uh-huh cadet;23516
